time; x; y; z
746543972352; -1.820938; 2.524428; 9.370294
746553606144; -1.820938; 2.524428; 9.370294
746561273856; -1.820938; 2.524428; 9.370294
746563764224; -1.820938; 2.524428; 9.370294
746575626240; -1.820938; 2.524428; 9.370294
746593124352; -1.890330; 2.419144; 9.308080
746608984064; -1.890330; 2.419144; 9.308080
746613768192; -1.890330; 2.419144; 9.308080
746624253952; -1.890330; 2.419144; 9.308080
746641358848; -1.890330; 2.419144; 9.308080
746649026560; -1.966900; 2.400001; 9.415757
746666655744; -1.966900; 2.400001; 9.415757
746690248704; -1.966900; 2.400001; 9.415757
746701848576; -1.904687; 2.378466; 9.449257
746715217920; -1.904687; 2.378466; 9.449257
746716397568; -1.904687; 2.378466; 9.449257
746726621184; -1.904687; 2.378466; 9.449257
746730487808; -1.904687; 2.378466; 9.449257
746764500992; -2.036292; 2.258825; 9.509077
746766204928; -2.036292; 2.258825; 9.509077
746774659072; -2.036292; 2.258825; 9.509077
746784620544; -2.036292; 2.258825; 9.509077
746800283648; -2.086541; 2.474179; 9.518648
746801987584; -2.086541; 2.474179; 9.518648
746842226688; -2.086541; 2.474179; 9.518648
746850615296; -2.086541; 2.474179; 9.518648
746855792640; -2.124826; 2.419144; 9.221938
746859462656; -2.124826; 2.419144; 9.221938
746894524416; -2.124826; 2.419144; 9.221938
746899767296; -2.124826; 2.419144; 9.221938
746913333248; -1.988436; 2.507678; 9.075976
746929651712; -1.988436; 2.507678; 9.075976
746932273152; -1.988436; 2.507678; 9.075976
746933321728; -1.988436; 2.507678; 9.075976
746957504512; -1.988436; 2.507678; 9.075976
746964844544; -1.988436; 2.507678; 9.075976
746966941696; -1.988436; 2.507678; 9.075976
746976313344; -1.981257; 2.402394; 9.066405
746985422848; -1.981257; 2.402394; 9.066405
746994532352; -1.981257; 2.402394; 9.066405
747023958016; -1.981257; 2.402394; 9.066405
747032936448; -1.964507; 2.684747; 8.693125
747044405248; -1.964507; 2.684747; 8.693125
747048206336; -1.964507; 2.684747; 8.693125
747055874048; -1.964507; 2.684747; 8.693125
747061444608; -1.964507; 2.684747; 8.693125
747114332160; -1.366302; 2.622534; 7.994421
747125604352; -1.366302; 2.622534; 7.994421
747133665280; -1.366302; 2.622534; 7.994421
747139432448; -1.366302; 2.622534; 7.994421
747145134080; -1.366302; 2.622534; 7.994421
747152211968; -1.533799; 1.885544; 8.664411
747161059328; -1.533799; 1.885544; 8.664411
747163418624; -1.533799; 1.885544; 8.664411
747168727040; -1.533799; 1.885544; 8.664411
747172397056; -1.533799; 1.885544; 8.664411
747177639936; -1.533799; 1.885544; 8.664411
747184390144; -1.533799; 1.885544; 8.664411
747204968448; -1.947758; 0.736989; 8.879765
747221942272; -1.947758; 0.736989; 8.879765
747230593024; -1.947758; 0.736989; 8.879765
747233017856; -1.947758; 0.736989; 8.879765
747246321664; -1.947758; 0.736989; 8.879765
747252744192; -1.947758; 0.736989; 8.879765
747281121280; -1.387837; -1.646262; 8.501698
747281580032; -1.387837; -1.646262; 8.501698
747288330240; -1.387837; -1.646262; 8.501698
747296063488; -1.387837; -1.646262; 8.501698
747299078144; -1.387837; -1.646262; 8.501698
747304845312; -1.387837; -1.646262; 8.501698
747330338816; -1.272982; -3.117848; 8.006385
747340824576; -1.272982; -3.117848; 8.006385
747345805312; -1.272982; -3.117848; 8.006385
747352162304; -1.272982; -3.117848; 8.006385
747354849280; -1.272982; -3.117848; 8.006385
747357601792; -1.272982; -3.117848; 8.006385
747367038976; -1.272982; -3.117848; 8.006385
747369332736; -1.272982; -3.117848; 8.006385
747378180096; -0.686740; -4.823930; 7.324430
747382505472; -0.686740; -4.823930; 7.324430
747384733696; -0.686740; -4.823930; 7.324430
747391549440; -0.686740; -4.823930; 7.324430
747404263424; -0.686740; -4.823930; 7.324430
747409637376; -0.686740; -4.823930; 7.324430
747411996672; -0.686740; -4.823930; 7.324430
747413504000; -0.686740; -4.823930; 7.324430
747417108480; -0.686740; -4.823930; 7.324430
747419467776; -0.686740; -4.823930; 7.324430
747444633600; -1.103091; -7.362715; 7.274181
747448369152; -1.103091; -7.362715; 7.274181
747450662912; -1.103091; -7.362715; 7.274181
747452366848; -1.103091; -7.362715; 7.274181
747456430080; -1.103091; -7.362715; 7.274181
747458134016; -1.103091; -7.362715; 7.274181
747468226560; -1.103091; -7.362715; 7.274181
747470323712; -1.103091; -7.362715; 7.274181
747472683008; -1.103091; -7.362715; 7.274181
747474255872; -1.103091; -7.362715; 7.274181
747477663744; -1.103091; -7.362715; 7.274181
747479302144; -1.103091; -7.362715; 7.274181
747505516544; -2.187040; -6.125626; 7.305287
747509252096; -2.187040; -6.125626; 7.305287
747512266752; -2.187040; -6.125626; 7.305287
747515084800; -2.187040; -6.125626; 7.305287
747516198912; -2.187040; -6.125626; 7.305287
747521900544; -2.187040; -6.125626; 7.305287
747560697856; -4.319045; -7.594819; 7.262217
747565285376; -4.319045; -7.594819; 7.262217
747568627712; -4.319045; -7.594819; 7.262217
747573084160; -4.319045; -7.594819; 7.262217
747576950784; -4.319045; -7.594819; 7.262217
747584356352; -4.319045; -7.594819; 7.262217
747611291648; -4.986642; -6.319445; 6.446264
747620073472; -4.986642; -6.319445; 6.446264
747626627072; -4.986642; -6.319445; 6.446264
747627544576; -4.986642; -6.319445; 6.446264
747634425856; -4.986642; -6.319445; 6.446264
747639472128; -4.986642; -6.319445; 6.446264
747680104448; -6.424729; -7.771888; 6.072984
747683446784; -6.424729; -7.771888; 6.072984
747694391296; -6.424729; -7.771888; 6.072984
747697340416; -6.424729; -7.771888; 6.072984
747702517760; -6.424729; -7.771888; 6.072984
747711823872; -6.424729; -7.771888; 6.072984
747756519424; -6.532406; -5.663811; 6.192625
747773362176; -6.532406; -5.663811; 6.192625
747775131648; -6.532406; -5.663811; 6.192625
747781750784; -6.532406; -5.663811; 6.192625
747785158656; -6.532406; -5.663811; 6.192625
747812487168; -7.647461; -5.644669; 7.496713
747819171840; -7.657032; -4.785645; 7.676175
747902468096; -13.490734; -3.773481; 10.585847
747930779648; -14.505291; -2.749353; 11.186446
747932745728; -15.381064; -2.301895; 11.327622
747949064192; -15.381064; -2.301895; 11.327622
747974098944; -15.357136; 0.423530; 11.119447
747980062720; -15.357136; 0.423530; 11.119447
747987468288; -15.357136; 0.423530; 11.119447
747990155264; -15.055640; 1.701297; 11.394622
747997954048; -15.055640; 1.701297; 11.394622
748001820672; -15.055640; 1.701297; 11.394622
748009750528; -14.938392; 2.304288; 11.308480
748013027328; -14.938392; 2.304288; 11.308480
748028952576; -14.550755; 2.457429; 10.896914
748034392064; -14.550755; 2.457429; 10.896914
748048744448; -13.825729; 2.088934; 10.313066
748061720576; -13.825729; 2.088934; 10.313066
748068470784; -12.358929; 1.926222; 11.105090
748102221824; -11.531013; 2.340181; 11.270195
748116836352; -10.478170; 2.088934; 10.403993
748132499456; -9.647861; 1.701297; 9.939785
748147769344; -8.647661; -0.413958; 8.147561
748164612096; -7.434500; -2.443072; 5.929415
748173590528; -7.434500; -2.443072; 5.929415
748179095552; -7.434500; -2.443072; 5.929415
748183289856; -6.118447; -4.843073; 3.751946
748189122560; -6.118447; -4.843073; 3.751946
748198232064; -6.118447; -4.843073; 3.751946
748226150400; -4.500899; -7.142576; 1.658226
748234735616; -4.500899; -7.142576; 1.658226
748240764928; -3.541378; -8.303095; 1.057628
748244566016; -3.541378; -8.303095; 1.057628
748263243776; -3.062813; -9.422935; 0.193819
748288409600; -2.352145; -10.085748; -1.450050
748305121280; -0.583849; -9.958928; -2.947958
748321439744; 0.215354; -8.784052; -3.464807
748340379648; 1.529014; -8.207381; -3.780660
748360302592; 2.493321; -8.568698; -4.402794
748378849280; 3.034099; -7.513463; -3.053242
748398706688; 2.847459; -7.369894; -1.682154
748417056768; 2.584249; -7.618747; -0.808774
748438355968; 2.979064; -5.860023; -0.217747
748460703744; 3.141776; -5.874380; 0.160319
748475056128; 3.199204; -6.338587; 1.064806
748494716928; 2.493321; -5.986842; 1.433301
748514312192; 1.883151; -7.216753; 1.380659
748533383168; 1.476372; -7.451250; 1.909472
748554485760; 1.083949; -7.003792; 1.055235
748574670848; 0.095713; -8.090134; -0.528814
748593545216; -1.347159; -7.726424; 0.918844
748609208320; -2.433501; -7.223932; 1.091127
748628541440; -3.601198; -6.697511; -0.339781
748647677952; -3.929015; -7.896315; -2.340181
748667273216; -2.907279; -9.523434; -1.490728
748686147584; -6.297909; -8.030313; 0.198604
748705480704; -7.630712; -8.633304; 0.145962
748724748288; -7.980063; -8.932407; -1.868794
748744474624; -8.819944; -8.635697; -4.287938
748763348992; -10.100104; -8.044670; -5.551349
748783468544; -10.463814; -8.288737; -5.929415
748803653632; -10.700703; -9.032906; -6.376873
748822462464; -11.002198; -10.128819; -6.709475
748841861120; -10.899307; -9.978070; -7.238288
748861390848; -10.815558; -9.693324; -9.109476
748880723968; -12.514462; -8.764910; -12.490534
748900253696; -14.266008; -9.566504; -16.639688
748918800384; -12.636497; -11.296515; -19.317257
748939378688; -12.390036; -10.808380; -17.931812
748959170560; -12.638889; -8.346166; -17.383856
748976537600; -10.662417; -7.453642; -18.625731
748996591616; -8.303095; -8.334201; -18.951155
749016055808; -6.159125; -9.683753; -18.774086
749035126784; -3.457629; -11.207981; -18.089739
749055049728; 1.131805; -12.777673; -14.237295
749073596416; 6.017949; -11.095519; -12.409178
749092732928; 8.123632; -11.143375; -14.165510
749112328192; 7.685746; -10.401600; -15.771094
749131530240; 6.764510; -8.176275; -15.297316
749160366080; 4.649254; -5.173283; -14.450256
749174784000; 2.148755; -4.644469; -14.983855
749189201920; 0.454636; -4.302295; -14.976677
749207814144; 0.370888; -4.517649; -13.782659
749226622976; 0.641276; -4.639683; -12.698709
749245825024; 1.069592; -5.067998; -11.337193
749265879040; 0.777667; -6.360123; -10.738988
749286064128; 0.820738; -6.786045; -9.231510
749305004032; 1.844866; -6.783652; -6.439086
749324533760; 2.859423; -6.936793; -3.134598
749344456704; 3.254239; -6.506085; -0.177069
749363200000; 3.924229; -4.572684; 1.423729
749382270976; 3.605984; -3.323631; 1.170090
749401669632; 3.184847; -1.557728; 0.028714
749421395968; 3.342773; -2.854637; -0.452243
749439877120; 2.112862; -2.431108; -0.672383
749458882560; 1.210768; -4.060620; 0.215354
749481754624; 1.696511; -3.333202; 1.868794
749497942016; 2.574677; -5.340780; 1.545763
749517996032; 1.720439; -2.605784; 1.122234
749536346112; 1.172483; -2.569891; 1.617548
749555089408; 2.021935; -4.780859; 2.050649
749574553600; 2.266003; -4.677969; 3.814159
749593427968; 0.524028; -2.596213; 2.885744
749612695552; 1.761117; -3.670590; 2.373680
749632094208; 2.146362; -5.036891; 2.349752
749651558400; 2.005185; -2.177469; 2.959922
749670498304; 1.971686; -4.977071; 2.976671
749689569280; 1.406980; -5.922236; 3.582056
749709492224; 0.571885; -6.218946; 3.601198
749728890880; 0.607777; -6.577869; 3.756732
749747568640; 0.361316; -6.814759; 4.331009
749767098368; -0.165105; -7.628319; 4.520042
749786759168; -1.402194; -7.144969; 5.673382
749806223360; -2.414358; -7.599605; 7.456035
749825163264; -2.553142; -8.300702; 8.193025
749844037632; -3.105884; -8.755338; 7.872386
749864878080; -4.199404; -9.949356; 7.511070
749885718528; -4.125226; -10.207782; 7.666604
749903413248; -4.110869; -8.358130; 7.932207
749922222080; -3.443272; -7.779067; 7.539784
749941096448; -3.046063; -7.458428; 7.223932
749960560640; -3.225525; -8.319844; 7.085148
749980352512; -3.239882; -8.616554; 7.391429
750000472064; -3.498307; -8.511271; 8.609376
750019411968; -3.617948; -8.748159; 8.659625
750037434368; -3.833302; -9.602397; 7.537391
750056243200; -3.854837; -9.391829; 6.644868
750075576320; -3.519842; -8.379665; 6.448657
750095368192; -3.984050; -6.860222; 6.752545
750114766848; -4.472186; -9.597611; 6.953543
750133379072; -5.051249; -5.034499; 7.747960
750153039872; -5.115855; -6.472585; 5.364708
750172569600; -5.544170; -7.219146; 3.768696
750192361472; -8.164310; -9.676575; 3.969693
750211170304; -9.018549; -10.133604; 2.478964
750230372352; -9.214760; -10.138390; 1.167697
750249115648; -9.320045; -8.757730; 1.749153
750268907520; -9.698111; -7.680961; 2.603391
750287978496; -10.080962; -8.343773; 3.067599
750307639296; -9.975677; -8.970692; 3.091527
750326710272; -9.406186; -8.671589; 2.739782
750345388032; -9.054440; -7.824530; 2.756532
750365179904; -8.855837; -6.723832; 2.880959
750385692672; -8.271988; -6.415157; 2.304288
750403321856; -7.680961; -6.104091; 1.095913
750423179264; -7.757531; -6.431907; 1.026521
750441988096; -8.236095; -6.568298; 2.072184
750461321216; -8.250452; -6.611369; 2.957529
750481309696; -8.415557; -6.080163; 3.682554
750500577280; -7.788638; -5.670990; 3.120241
750519320576; -7.147361; -5.795416; 2.423929
750538850304; -6.929615; -5.891129; 2.261217
750558445568; -6.774081; -6.017949; 2.620141
750577516544; -6.649654; -5.867201; 2.842673
750596259840; -6.369694; -6.197411; 2.732604
750615330816; -5.917450; -6.448657; 2.263610
750635122688; -5.654240; -6.506085; 1.830509
750654390272; -5.505885; -6.214160; 2.428715
750673264640; -5.927022; -6.525228; 3.256632
750693908480; -5.867201; -7.010970; 3.297310
750712324096; -5.623133; -7.322037; 2.857030
750731984896; -5.417350; -7.750352; 2.538785
750751383552; -5.441278; -7.470392; 2.890530
750770585600; -5.587241; -7.211967; 3.079563
750789001216; -5.347959; -7.073184; 2.780460
750808793088; -5.517849; -7.534998; 2.873780
750828060672; -5.826523; -8.178668; 2.943172
750847066112; -5.632705; -7.171289; 2.890530
750866333696; -5.862415; -6.343373; 3.426522
750885732352; -6.053841; -7.020542; 3.361916
750904999936; -5.967700; -6.656833; 3.366701
750924988416; -6.084948; -6.927222; 3.479164
750943731712; -6.187840; -6.874579; 3.634698
750962671616; -6.065805; -6.711867; 3.335595
750981873664; -6.285945; -6.982256; 3.493521
751001403392; -6.506085; -7.398608; 3.668197
751020933120; -6.443871; -7.247860; 3.555734
751039283200; -6.398408; -7.044470; 3.689733
751059468288; -6.309873; -6.738189; 3.527021
751078277120; -6.417551; -6.996614; 3.677768
751097675776; -6.288338; -7.063612; 3.503092
751119761408; -5.984449; -7.221539; 3.235096
751136931840; -5.917450; -6.403193; 3.244668
751162294272; -5.879165; -6.439086; 3.720839
751184838656; -5.838487; -5.871987; 3.792624
751194210304; -6.008378; -6.161518; 3.804588
751213019136; -6.087341; -6.407979; 3.854837
751232679936; -6.061020; -7.010970; 3.828516
751252209664; -6.080163; -7.396215; 3.763910
751271477248; -5.950950; -7.209575; 3.605984
751291531264; -5.802595; -7.343573; 3.424129
751311978496; -5.735596; -7.137790; 3.431308
751329738752; -5.670990; -7.039684; 3.555734
751350251520; -5.659026; -7.283752; 3.373880
751369060352; -5.709275; -7.307680; 3.510271
751387672576; -5.721239; -7.334002; 3.483950
751407726592; -5.709275; -7.049255; 3.431308
751426207744; -5.793024; -7.087541; 3.474379
751449210880; -5.862415; -7.049255; 3.440879
751472214016; -5.773881; -6.857830; 3.488735
751482896384; -5.869594; -6.910472; 3.555734
751502295040; -5.962914; -7.066005; 3.555734
751522086912; -5.898308; -7.190432; 3.582056
751540895744; -5.852844; -7.228717; 3.610769
751559966720; -5.783453; -7.250253; 3.586841
751579234304; -5.730810; -7.116254; 3.548556
751599353856; -5.879165; -7.190432; 3.598805
751619014656; -5.876772; -7.113862; 3.378666
751638806528; -5.826523; -7.044470; 3.407379
751657943040; -5.812166; -7.027720; 3.522235
751677079552; -5.848059; -7.066005; 3.601198
751695888384; -5.831309; -7.192825; 3.672983
751717122048; -5.912665; -7.269395; 3.682554
751734489088; -5.895915; -7.154540; 3.627519
751754412032; -5.778666; -7.010970; 3.471986
751773876224; -5.800202; -7.080362; 3.665804
751792881664; -5.903093; -7.264609; 3.687340
751812083712; -5.895915; -7.365108; 3.531806
751832530944; -5.656633; -7.111469; 3.452843
751851470848; -5.639883; -7.113862; 3.531806
751870148608; -5.802595; -7.063612; 3.567698
751889350656; -5.761917; -7.018149; 3.548556
751908880384; -5.797809; -7.092326; 3.601198
751929065472; -5.776274; -7.104290; 3.467200
751947546624; -5.759524; -6.984649; 3.586841
751966420992; -5.922236; -6.920043; 3.744767
751985623040; -5.912665; -7.013363; 3.737589
752005611520; -5.848059; -7.025327; 3.694518
752024223744; -5.804988; -6.991828; 3.689733
752043753472; -5.761917; -6.929615; 3.756732
752062496768; -5.809773; -7.056434; 3.799802
752082878464; -5.812166; -7.070791; 3.728018
752101883904; -5.802595; -7.128219; 3.725625
752120627200; -5.687739; -7.154540; 3.771089
752140288000; -5.687739; -7.319644; 3.912265
752159752192; -5.630311; -7.401000; 3.981657
752179019776; -5.489135; -7.379465; 4.084548
752197435392; -5.247460; -7.066005; 4.120440
752217227264; -4.936393; -7.245467; 4.223332
752236429312; -4.957929; -7.563713; 4.476971
752255827968; -4.986642; -7.546963; 4.620541
752275423232; -4.931607; -7.805387; 4.673182
752294756352; -4.742575; -8.032705; 4.599005
752313630720; -4.711468; -8.123632; 4.651647
752332701696; -4.663611; -8.118847; 4.622933
752351838208; -4.445865; -7.925029; 4.462614
752371367936; -4.211368; -7.642675; 4.352544
752390766592; -4.156333; -7.738389; 4.508078
752409575424; -4.393222; -8.073383; 4.737789
752429105152; -4.522435; -8.075776; 4.723432
752448634880; -4.601398; -7.968100; 4.740181
752468295680; -5.017749; -7.975278; 5.168497
752488218624; -5.747560; -7.869994; 5.584848
752506109952; -6.338587; -7.750352; 5.627919
752525312000; -7.185647; -7.255038; 5.618348
752545497088; -8.221739; -6.072984; 6.005985
752564830208; -9.741181; -5.635098; 6.865008
752583442432; -11.291730; -4.596612; 7.381858
752602906624; -12.466606; -4.098905; 7.523035
752622501888; -13.227524; -3.211168; 7.604390
752641835008; -13.246666; -1.758725; 7.616354
752660840448; -14.031512; -1.261018; 8.190632
752681549824; -15.622739; -0.126820; 9.894321
752701407232; -16.297516; 0.667598; 10.356136
752721985536; -15.905092; 1.155733; 9.623933
752738566144; -15.426528; 1.418944; 8.815159
752757506048; -15.194424; 1.423729; 8.353344
752776445952; -15.187245; 0.705883; 8.114061
752795975680; -14.883357; 0.107677; 7.724031
752814981120; -14.213367; -0.088534; 7.302895
752834117632; -13.615161; -0.835095; 6.463014
752853712896; -12.959527; -1.469193; 6.099305
752874749952; -11.901900; -2.541178; 5.900701
752907124736; -10.380065; -4.264010; 5.123033
752917020672; -9.135797; -5.472385; 4.302295
752929603584; -7.575676; -6.159125; 2.151148
752948740096; -5.211568; -7.164111; -0.062213
752967942144; -3.591627; -7.288538; -2.029114
752987865088; -2.400001; -7.243074; -2.182254
753007067136; -2.263610; -7.283752; -2.421536
753026531328; -1.430908; -7.434500; -3.132205
753045471232; 0.035892; -7.948957; -3.639483
753064738816; 0.440279; -8.518449; -3.976871
753084006400; 1.057628; -8.106883; -4.364509
753104977920; 2.091327; -8.044670; -4.374080
753123590144; 3.153740; -8.525627; -3.771089
753143054336; 3.261417; -9.494720; -3.132205
753161011200; 3.383451; -9.784252; -2.364109
753180409856; 2.993421; -9.437292; -0.957129
753201905664; 2.959922; -9.133404; 0.358923
753220255744; 3.223132; -8.697910; 0.739382
753238540288; 3.412165; -8.894122; 0.827917
753258725376; 3.347559; -8.915657; 1.148555
753278124032; 2.648855; -8.470592; 1.162912
753297850368; 2.108077; -8.882157; 0.835095
753315938304; 1.349552; -8.702696; 2.512464
753335795712; 1.019342; -8.267202; 2.974278
753355063296; 0.887737; -8.360522; 1.660619
753375313920; 0.583849; -8.788837; -0.430708
753394188288; -0.071785; -8.898908; -0.232104
753412603904; -1.234697; -8.121240; 2.026721
753431937024; -2.189433; -7.613962; 1.935794
753453170688; -2.885744; -8.169097; 0.361316
753470668800; -4.072584; -7.750352; -1.840081
753489805312; -4.371687; -7.843673; -3.809374
753509203968; -4.677969; -8.731410; -2.971886
753528995840; -5.812166; -9.276974; -1.435694
753548001280; -8.295917; -9.279366; -0.870987
753566744576; -10.327422; -10.494920; -2.132005
753586012160; -11.607583; -10.514063; -4.046263
753605345280; -11.339586; -10.403993; -5.223532
753625661440; -11.385050; -10.095319; -5.869594
753643880448; -10.858629; -10.425529; -6.319445
753663737856; -11.425728; -10.478170; -8.508878
753683267584; -11.478371; -11.712867; -10.918449
753702273024; -11.803794; -12.342179; -11.765509
753721540608; -12.406785; -12.574283; -12.361321
753741135872; -12.284752; -12.270394; -12.835101
753759617024; -10.545170; -13.550554; -14.108083
753779605504; -10.248460; -11.722438; -13.182060
753798545408; -8.465807; -12.337394; -12.437892
753818861568; -7.343573; -13.261024; -12.373286
753837342720; -6.910472; -15.278172; -12.739388
753856741376; -0.911665; -16.941185; -14.383257
753875353600; 4.000800; -15.239887; -12.315858
753894555648; 5.599205; -14.770894; -10.815558
753915068416; 6.168697; -13.875978; -9.370294
753934270464; 5.257031; -13.141382; -9.913465
753952751616; 3.780660; -9.994821; -10.561919
753972936704; 2.737389; -7.369894; -11.978470
753991221248; 1.820938; -6.424729; -12.770494
754010488832; 0.825524; -5.867201; -13.091133
754029363200; 0.677169; -5.946164; -12.208181
754049941504; 1.540978; -6.072984; -9.736395
754069995520; 2.828316; -6.824330; -8.202596
754088148992; 3.326024; -7.896315; -7.525427
754109054976; 3.376273; -7.144969; -6.427122
754126880768; 3.665804; -6.843473; -5.383851
754145886208; 3.675375; -5.915058; -4.362116
754168037376; 4.127619; -5.539384; -1.603191
754184093696; 3.069991; -4.950750; 0.480957
754203754496; 2.670390; -3.589234; 1.335195
754222956544; 2.495714; -3.574877; 0.691526
754243469312; 0.715454; -2.746960; 0.760918
754263719936; 1.368695; -3.608377; 0.993021
754283053056; 0.145962; -3.914658; 0.607777
754301403136; -0.055035; -5.094319; 1.442872
754322636800; 1.119841; -3.991228; 1.500300
754350358528; 2.557927; -5.477171; 1.215554
754358419456; 2.005185; -2.337788; 0.727418
754378801152; 1.004985; -5.089534; 0.818345
754395316224; 1.313660; -4.723432; 0.885344
754415042560; 1.890330; -5.237889; 1.325624
754434506752; 1.883151; -4.146761; 2.720639
754453643264; 1.780260; -2.821138; 3.438486
754472583168; 2.402394; -3.069991; 3.610769
754492440576; 2.577070; -3.120241; 3.237489
754510921728; 1.751546; -3.943372; 3.534199
754530844672; 0.926022; -3.871587; 4.086941
754549391360; 0.076570; -4.910072; 5.096712
754569183232; -0.428315; -5.388637; 5.793024
754587926528; -1.502693; -6.331409; 5.919843
754607521792; -2.189433; -6.855437; 6.374479
754626658304; -3.098705; -7.322037; 6.903293
754645991424; -3.866802; -7.927422; 7.214360
754667618304; -5.182854; -8.219346; 8.035098
754685902848; -5.563313; -7.824530; 8.358130
754704842752; -5.467600; -6.939186; 8.322237
754724765696; -5.383851; -6.561120; 8.133204
754743312384; -5.972486; -7.125826; 7.958528
754762776576; -6.288338; -7.822137; 7.460821
754781650944; -6.245267; -7.068398; 8.178668
754801508352; -6.922436; -6.585048; 8.288737
754822021120; -7.688139; -6.137590; 8.245667
754840305664; -8.410771; -7.178468; 7.755138
754859311104; -8.528020; -8.475378; 7.523035
754878447616; -9.071191; -8.283952; 7.941778
754897846272; -9.298509; -8.575876; 7.231110
754917244928; -9.597611; -8.580662; 5.577670
754936512512; -9.365508; -11.351551; 5.857630
754955911168; -8.578269; -8.183454; 5.493921
754975703040; -8.212168; -7.537391; 4.149155
754994642944; -8.592627; -8.365308; 4.706682
755013386240; -8.796016; -7.972885; 3.756732
755032653824; -8.212168; -7.362715; 1.978864
755052445696; -8.640483; -8.118847; 2.318645
755071516672; -9.229117; -7.714460; 3.754339
755091374080; -9.518648; -6.819544; 5.008178
755109527552; -8.963513; -6.230910; 4.934000
755128074240; -8.461020; -5.943771; 4.108477
755147603968; -8.353344; -5.838487; 2.935993
755166609408; -8.614161; -6.728617; 3.024528
755186008064; -8.585447; -6.293124; 3.503092
755205144576; -8.458628; -6.305088; 4.027121
755224346624; -7.628319; -5.642276; 2.036292
755243614208; -7.475178; -5.764310; 0.981057
755264061440; -8.566305; -5.637490; 2.926422
