time; x; y; z
656726818816; -1.605584; 2.376073; 9.590433
656730816512; -1.605584; 2.376073; 9.590433
656744382464; -1.605584; 2.376073; 9.590433
656754212864; -1.605584; 2.376073; 9.590433
656761225216; -1.605584; 2.376073; 9.590433
656778985472; -1.672583; 2.139184; 9.504292
656789471232; -1.672583; 2.139184; 9.504292
656827154432; -1.672583; 2.139184; 9.504292
656832069632; -1.808974; 2.033899; 9.633504
656841572352; -1.808974; 2.033899; 9.633504
656844455936; -1.808974; 2.033899; 9.633504
656852123648; -1.808974; 2.033899; 9.633504
656885088256; -1.808974; 2.033899; 9.633504
656911826944; -1.684547; 2.234896; 9.394221
656915496960; -1.684547; 2.234896; 9.394221
656932864000; -1.684547; 2.234896; 9.394221
656942235648; -1.684547; 2.234896; 9.394221
656944267264; -1.684547; 2.234896; 9.394221
656972644352; -1.619941; 2.127219; 9.442079
656988372992; -1.619941; 2.127219; 9.442079
656997220352; -1.619941; 2.127219; 9.442079
657009999872; -1.751546; 2.352145; 9.399008
657025531904; -1.751546; 2.352145; 9.399008
657029332992; -1.751546; 2.352145; 9.399008
657038508032; -1.751546; 2.352145; 9.399008
657048666112; -1.751546; 2.352145; 9.399008
657059872768; -1.837688; 2.289931; 9.360723
657070424064; -1.837688; 2.289931; 9.360723
657075011584; -1.837688; 2.289931; 9.360723
657083400192; -1.837688; 2.289931; 9.360723
657106862080; -1.837688; 2.289931; 9.360723
657108238336; -1.837688; 2.289931; 9.360723
657125277696; -1.703690; 2.309074; 9.231510
657127964672; -1.703690; 2.309074; 9.231510
657128947712; -1.703690; 2.309074; 9.231510
657141792768; -1.703690; 2.309074; 9.231510
657156931584; -1.703690; 2.309074; 9.231510
657169973248; -1.749153; 2.132005; 9.073584
657177444352; -1.749153; 2.132005; 9.073584
657181769728; -1.749153; 2.132005; 9.073584
657198022656; -1.749153; 2.132005; 9.073584
657202806784; -1.749153; 2.132005; 9.073584
657211064320; -1.749153; 2.132005; 9.073584
657212243968; -1.749153; 2.132005; 9.073584
657218928640; -1.749153; 2.132005; 9.073584
657224171520; -1.749153; 2.132005; 9.073584
657228955648; -0.947558; 1.615155; 8.544769
657245536256; -0.947558; 1.615155; 8.544769
657256480768; -0.947558; 1.615155; 8.544769
657263886336; -0.947558; 1.615155; 8.544769
657265786880; -0.947558; 1.615155; 8.544769
657268146176; -0.947558; 1.615155; 8.544769
657271357440; -0.947558; 1.615155; 8.544769
657301831680; -0.526421; 0.916451; 8.573483
657334140928; -0.526421; 0.916451; 8.573483
657337614336; -0.526421; 0.916451; 8.573483
657341153280; -1.261018; 0.471386; 8.224132
657354391552; -1.261018; 0.471386; 8.224132
657356619776; -1.261018; 0.471386; 8.224132
657415143424; -2.347359; 2.105684; 7.678568
657421762560; -2.347359; 2.105684; 7.678568
657430544384; -2.347359; 2.105684; 7.678568
657473339392; -2.636891; 1.777867; 7.106683
657475239936; -2.636891; 1.777867; 7.106683
657486053376; -2.636891; 1.777867; 7.106683
657489395712; -2.636891; 1.777867; 7.106683
657491623936; -2.636891; 1.777867; 7.106683
657493590016; -2.636891; 1.777867; 7.106683
657508139008; -4.357330; 0.803988; 8.236095
657511415808; -4.357330; 0.803988; 8.236095
657512398848; -4.357330; 0.803988; 8.236095
657533370368; -4.357330; 0.803988; 8.236095
657538744320; -4.357330; 0.803988; 8.236095
657543921664; -4.357330; 0.803988; 8.236095
657553752064; -5.661418; 1.502693; 8.355737
657571708928; -5.661418; 1.502693; 8.355737
657576820736; -5.661418; 1.502693; 8.355737
657592745984; -5.661418; 1.502693; 8.355737
657601069056; -5.661418; 1.502693; 8.355737
657603297280; -5.661418; 1.502693; 8.355737
657607360512; -5.661418; 1.502693; 8.355737
657631543296; -9.322437; 3.189633; 9.590433
657643929600; -9.322437; 3.189633; 9.590433
657646813184; -9.322437; 3.189633; 9.590433
657671192576; -12.454642; 4.601398; 10.636097
657680433152; -12.454642; 4.601398; 10.636097
657683382272; -12.454642; 4.601398; 10.636097
657716346880; -12.454642; 4.601398; 10.636097
657722966016; -12.454642; 4.601398; 10.636097
657725521920; -12.454642; 4.601398; 10.636097
657728864256; -14.837893; 5.979664; 11.229517
657731616768; -14.837893; 5.979664; 11.229517
657735024640; -14.837893; 5.979664; 11.229517
657760649216; -14.837893; 5.979664; 11.229517
657766350848; -14.837893; 5.979664; 11.229517
657768644608; -14.837893; 5.979664; 11.229517
657769496576; -14.837893; 5.979664; 11.229517
657788043264; -12.009577; 4.180261; 12.090933
657792368640; -12.009577; 4.180261; 12.090933
657803116544; -12.009577; 4.180261; 12.090933
657810653184; -12.009577; 4.180261; 12.090933
657813602304; -12.009577; 4.180261; 12.090933
657818583040; -12.009577; 4.180261; 12.090933
657824415744; -12.009577; 4.180261; 12.090933
657825464320; -12.009577; 4.180261; 12.090933
657843421184; -11.732010; 4.943572; 12.684353
657847156736; -11.732010; 4.943572; 12.684353
657855152128; -11.732010; 4.943572; 12.684353
657858625536; -11.732010; 4.943572; 12.684353
657881366528; -11.732010; 4.943572; 12.684353
657885364224; -11.100305; 2.132005; 11.251052
657922523136; -11.100305; 2.132005; 11.251052
657926979584; -11.100305; 2.132005; 11.251052
657932943360; -11.100305; 2.132005; 11.251052
657943166976; -6.506085; -1.509871; 8.408379
657944805376; -6.506085; -1.509871; 8.408379
657945722880; -6.506085; -1.509871; 8.408379
657963286528; -6.506085; -1.509871; 8.408379
657975672832; -6.506085; -1.509871; 8.408379
657982554112; -6.506085; -1.509871; 8.408379
657983012864; -6.506085; -1.509871; 8.408379
658007064576; -1.634298; -7.262217; 0.356531
658008834048; -1.634298; -7.262217; 0.356531
658012504064; -1.634298; -7.262217; 0.356531
658013356032; -1.634298; -7.262217; 0.356531
658014339072; -1.634298; -7.262217; 0.356531
658022989824; -1.634298; -7.262217; 0.356531
658034589696; -1.634298; -7.262217; 0.356531
658045534208; -1.634298; -7.262217; 0.356531
658049990656; -1.634298; -7.262217; 0.356531
658064801792; 1.923829; -5.398208; -2.450250
658076336128; 1.923829; -5.398208; -2.450250
658077188096; 1.923829; -5.398208; -2.450250
658101108736; 1.923829; -5.398208; -2.450250
658106482688; 3.708875; -4.182654; -4.338187
658111397888; 3.708875; -4.182654; -4.338187
658113232896; 3.708875; -4.182654; -4.338187
658115723264; 3.708875; -4.182654; -4.338187
658119852032; 3.708875; -4.182654; -4.338187
658155569152; 3.708875; -4.182654; -4.338187
658162122752; 3.996014; -3.170490; -3.385844
