time; x; y; z
38918116343808; -1.469193; 6.307480; 7.494320
38918116343808; -1.469193; 6.307480; 7.494320
38918120538112; -1.469193; 6.307480; 7.494320
38918128926720; -1.469193; 6.307480; 7.494320
38918128926720; -1.469193; 6.307480; 7.494320
38918133121024; -1.469193; 6.307480; 7.494320
38918183452672; -1.519442; 5.065606; 7.951350
38918191841280; -1.519442; 5.065606; 7.951350
38918196035584; -1.519442; 5.065606; 7.951350
38918196035584; -1.519442; 5.065606; 7.951350
38918196035584; -1.519442; 5.065606; 7.951350
38918204424192; -1.519442; 5.065606; 7.951350
38918233784320; -1.339981; 5.515456; 7.771888
38918242172928; -1.339981; 5.515456; 7.771888
38918246367232; -1.339981; 5.515456; 7.771888
38918250561536; -1.339981; 5.515456; 7.771888
38918258950144; -1.339981; 5.515456; 7.771888
38918258950144; -1.339981; 5.515456; 7.771888
38918305087488; -1.598405; 5.608776; 7.946564
38918309281792; -1.598405; 5.608776; 7.946564
38918313476096; -1.598405; 5.608776; 7.946564
38918321864704; -1.598405; 5.608776; 7.946564
38918330253312; -1.598405; 5.608776; 7.946564
38918342836224; -1.598405; 5.608776; 7.946564
38918388973568; -1.658226; 5.580062; 7.690532
38918393167872; -1.658226; 5.580062; 7.690532
38918414139392; -2.115255; 6.283552; 6.855437
38918422528000; -2.115255; 6.283552; 6.855437
38918422528000; -2.115255; 6.283552; 6.855437
38918426722304; -2.115255; 6.283552; 6.855437
38918460276736; -2.115255; 6.283552; 6.855437
38918464471040; -2.782853; 7.106683; 5.352744
38918468665344; -2.782853; 7.106683; 5.352744
38918472859648; -2.782853; 7.106683; 5.352744
38918477053952; -2.782853; 7.106683; 5.352744
38918489636864; -2.782853; 7.106683; 5.352744
38918514802688; -2.782853; 7.106683; 5.352744
38918518996992; -3.309274; 7.350751; 5.010571
38918523191296; -3.309274; 7.350751; 5.010571
38918523191296; -3.309274; 7.350751; 5.010571
38918527385600; -3.309274; 7.350751; 5.010571
38918531579904; -3.309274; 7.350751; 5.010571
38918544162816; -3.309274; 7.350751; 5.010571
38918548357120; -3.309274; 7.350751; 5.010571
38918552551424; -3.309274; 7.350751; 5.010571
38918556745728; -3.309274; 7.350751; 5.010571
38918560940032; -3.309274; 7.350751; 5.010571
38918565134336; -3.309274; 7.350751; 5.010571
38918594494464; -4.127619; 2.359323; 2.876173
38918598688768; -4.127619; 2.359323; 2.876173
38918602883072; -4.127619; 2.359323; 2.876173
38918607077376; -4.127619; 2.359323; 2.876173
38918611271680; -4.127619; 2.359323; 2.876173
38918619660288; -4.127619; 2.359323; 2.876173
38918640631808; -0.717847; -9.678967; 0.421137
38918644826112; -0.717847; -9.678967; 0.421137
38918649020416; -0.717847; -9.678967; 0.421137
38918653214720; -0.717847; -9.678967; 0.421137
38918653214720; -0.717847; -9.678967; 0.421137
38918657409024; -0.717847; -9.678967; 0.421137
38918699352064; 4.706682; -14.342579; -1.988436
38918699352064; 4.706682; -14.342579; -1.988436
38918707740672; 4.706682; -14.342579; -1.988436
38918711934976; 4.706682; -14.342579; -1.988436
38918711934976; 4.706682; -14.342579; -1.988436
38918720323584; 4.706682; -14.342579; -1.988436
38918753878016; 5.498706; -13.483556; -5.335995
38918758072320; 5.498706; -13.483556; -5.335995
38918762266624; 5.498706; -13.483556; -5.335995
38918766460928; 5.498706; -13.483556; -5.335995
38918766460928; 5.498706; -13.483556; -5.335995
38918770655232; 5.498706; -13.483556; -5.335995
38918812598272; 4.287938; -11.435300; -2.574677
38918833569792; 3.433701; -10.286744; -2.849852
38918837764096; 3.433701; -10.286744; -2.849852
38918846152704; 3.433701; -10.286744; -2.849852
38918850347008; 3.433701; -10.286744; -2.849852
38918862929920; 3.433701; -10.286744; -2.849852
38918883901440; 3.433701; -10.286744; -2.849852
38918892290048; 2.220539; -9.887143; -0.851845
38918925844480; 1.282553; -7.795816; 0.105284
38918938427392; 1.282553; -7.795816; 0.105284
38918946816000; 1.543371; -6.788438; -0.198604
38918963593216; 0.425922; -7.032506; -0.311067
