time; x; y; z
Wed May 11 12:35:03 GMT+01:00 3988; -2.306681; 7.556534; 6.199803
Wed May 11 14:54:52 GMT+01:00 3988; -2.306681; 7.556534; 6.199803
Wed May 11 23:04:12 GMT+01:00 3988; -2.230111; 7.290931; 5.888737
Thu May 12 03:43:49 GMT+01:00 3988; -2.230111; 7.290931; 5.888737
Thu May 12 07:13:32 GMT+01:00 3988; -2.230111; 7.290931; 5.888737
Thu May 12 13:03:03 GMT+01:00 3988; -2.581856; 7.515856; 6.068198
Thu May 12 17:42:41 GMT+01:00 3988; -2.581856; 7.515856; 6.068198
Thu May 12 21:12:23 GMT+01:00 3988; -2.581856; 7.515856; 6.068198
Fri May 13 06:31:38 GMT+01:00 3988; -2.581856; 7.518249; 6.008378
Fri May 13 08:51:26 GMT+01:00 3988; -2.581856; 7.518249; 6.008378
Fri May 13 11:11:15 GMT+01:00 3988; -2.581856; 7.518249; 6.008378
Fri May 13 12:21:09 GMT+01:00 3988; -2.581856; 7.518249; 6.008378
Fri May 13 14:40:58 GMT+01:00 3988; -2.581856; 7.518249; 6.008378
Fri May 13 15:50:52 GMT+01:00 3988; -2.581856; 7.518249; 6.008378
Fri May 13 18:10:41 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Fri May 13 20:30:30 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Sat May 14 00:00:12 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Sat May 14 01:10:07 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Sat May 14 03:29:55 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Sat May 14 05:49:44 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Sat May 14 08:09:33 GMT+01:00 3988; -2.598605; 7.422536; 6.116055
Sat May 14 13:59:04 GMT+01:00 3988; -2.163112; 7.420143; 6.120841
Sat May 14 16:18:53 GMT+01:00 3988; -2.163112; 7.420143; 6.120841
Sat May 14 17:28:47 GMT+01:00 3988; -2.163112; 7.420143; 6.120841
Sat May 14 19:48:36 GMT+01:00 3988; -2.163112; 7.420143; 6.120841
Sat May 14 22:08:24 GMT+01:00 3988; -2.163112; 7.420143; 6.120841
Sun May 15 00:28:13 GMT+01:00 3988; -2.163112; 7.420143; 6.120841
Sun May 15 06:17:44 GMT+01:00 3988; -2.122434; 7.618747; 6.458228
Sun May 15 08:37:33 GMT+01:00 3988; -2.122434; 7.618747; 6.458228
Sun May 15 09:47:27 GMT+01:00 3988; -2.122434; 7.618747; 6.458228
Sun May 15 14:27:04 GMT+01:00 3988; -2.122434; 7.618747; 6.458228
