;x_mean;y_mean;z_mean;x_min;y_min;z_min;x_max;y_max;z_max;x_std;y_std;z_std;x_med;y_med;z_med;activity;sma;smv;tilt;x_psd;y_psd;z_psd
5;6.944675098039217;-9.85298674509804;-0.7191604705882351;-10.068997;-24.040689;-14.502898000000002;39.029331;2.612962;21.166908;9.745982550646076;7.779700371058672;8.483625667065509;4.2664029999999995;-10.356136;-0.464208;forward_180;25.33506537254902;838.5342891812425;1.028812632456552;7208.862916958519;7977.335630925484;3624.972003849927
17;-4.631584384615385;-5.012135192307691;-8.43879525;-9.731608999999999;-8.152347;-17.206787;7.262217;-1.68694;-3.737589;3.916704661958331;1.7224830652863659;2.9677262739107384;-6.698707000000001;-5.1361935;-7.4093754999999994;forward_180;18.85373994230769;611.5529335061494;2.0087867565812876;1897.851189273592;1457.6323010905164;4152.267155193839
65;3.4110146730769246;-8.234669096153848;2.679547211538462;-7.657032000000001;-27.247071999999996;-2.268396;20.717057999999998;1.0480559999999999;7.063611999999999;7.038266141706225;7.940576052374861;2.0054340237236636;3.0580274999999997;-6.273981;2.3377879999999998;forward_180;17.10200959615385;588.273451885132;1.6229147299109812;3131.4178015530947;6741.798456624865;578.4686562598371
1;-4.463166326923076;-5.9179105;-4.245189442307693;-23.899513;-18.058632;-13.85205;10.329815;-1.249053;3.491128;7.322568720769454;3.928646352508379;3.7678271316945815;-2.43709;-5.0512485;-5.212764;forward_180;16.861898846153846;575.7049228700489;1.8492262546294913;3770.453036602513;2608.2739339894792;1661.1475228672211
9;-2.8219355490196074;-5.234745176470588;-5.858192960784313;-9.183653;-17.936598;-15.828522;6.654439999999999;-0.064606;1.0432709999999998;4.880371370651718;3.384794136834148;4.046263929405583;-0.679562;-4.23051;-6.192625;forward_180;15.838796823529412;515.91507461848;1.808545661218779;1597.0305681576974;1970.3719776290284;2568.852252375363
71;7.85867375;-7.006368807692307;-5.937191230769232;-14.309079;-32.444283;-33.729229;26.08416;22.009182;19.743179;13.089170731750977;13.805827718190566;14.947667558132961;11.688938499999999;-7.928618;-4.985446;forward_180;38.814298134615385;1355.3285855226145;1.1619753939231283;11949.101074356082;12273.283429411298;13228.083501809093
15;5.9917686274509805;-10.785249196078428;-2.089356431372549;-29.101509000000004;-32.91806;-53.041698;44.587856;3.6227339999999995;9.559325999999999;13.913565575071184;8.954584806502284;11.37790880777805;4.941179;-9.963714;0.26321100000000003;forward_180;28.75755241176471;1001.9089359036223;1.2293642716096072;11510.331206120496;9941.631064139114;6695.476367068877
53;-5.2593781346153845;-5.568006249999998;-9.153328903846154;-53.903114;-25.296920999999998;-60.684376;17.168503;4.074977;3.5007;11.101238109021743;5.484067801453034;11.09594658500858;-4.119244;-4.4709895;-6.190232;forward_180;22.74957728846153;790.1942092943602;1.8855760210514;7723.486900082292;3145.965049399661;10635.859922628779
62;7.913432653846156;-6.837352673076921;-5.2529818846153855;-1.720439;-29.211578000000003;-30.142387;20.963520000000003;11.090733;10.317851;5.716907496541259;9.923991643049439;11.054819792209619;7.226324;-6.401997;-2.0853450000000002;forward_180;25.957017903846157;957.4979347951615;0.9974381391629954;4923.200248606338;7453.734478650741;7667.539643914771
52;-6.202150288461538;-6.621032307692309;-7.039868403846155;-53.903114;-25.296920999999998;-60.684376;5.821737000000001;4.074977;4.579863;10.37820456462206;6.159413483005209;11.403803639049059;-4.054638;-5.879165;-3.3930225;forward_180;21.70018653846154;759.888691201352;2.00657280485248;7493.330375676753;4214.436675800222;9209.490460797926
3;8.66100569230769;-8.314368461538463;-5.492494365384615;-12.638889;-29.697321000000002;-32.970703;20.877378;14.203795000000001;16.110874;7.702126736347878;11.361740747703587;12.434194893302202;8.267201499999999;-9.1262255;-4.5475595;forward_180;31.48374805769231;1111.4629236515998;1.1201715026030081;6926.1375887146905;10178.240385259154;9453.779041272404
8;3.9494458846153844;-7.167056019230767;-0.7568222692307689;-16.110874;-22.571495000000002;-36.222549;42.006001;9.064013000000001;17.541782;13.160444452577977;6.331041228383069;9.916759453303966;1.2634105;-7.146165;1.003789;forward_180;23.93931621153847;832.7904148416841;1.4216615521635902;9644.164593025202;4715.25421791498;5045.232578043956
100;-9.62494498076923;-6.779142692307692;-7.506744730769229;-26.206194;-25.636702;-34.523643;0.715454;21.879970999999998;8.015956;6.154394455147799;10.788401030829924;10.549474790051493;-8.565108500000001;-9.037690999999999;-5.8313085000000004;forward_180;29.945991365384614;1042.4494791171812;2.140255423209829;6748.962552494664;8325.621770321399;8606.125591194977
54;-4.707602442307692;-5.381734153846153;-8.430144153846152;-12.815958;-15.601204000000001;-24.631716;17.168503;9.190832;3.5007;5.631526461868445;4.351510987584375;5.63714711976308;-6.070591;-4.345366;-6.7022960000000005;forward_180;20.814013711538465;687.9505457229917;1.9361745859925354;2769.8176840776614;2471.797291767503;5316.1499937830895
