;time;x;y;z;activity
802;1970-01-01 23:52:58.915577856;9.71486;-9.848858;2.7014970000000003;forward_180
1418;1970-01-02 00:00:08.806572032;-5.73081;-3.402594;-10.561919;forward_180
2209;1970-01-01 23:53:26.136610816;-0.736989;-7.743174000000001;7.965706;forward_180
68;1970-01-01 23:54:55.097798656;7.020542;-6.183053;-3.538985;forward_180
1326;1970-01-01 23:55:19.433150464;3.103491;-2.739782;1.823331;forward_180
659;1970-01-01 23:52:56.155725824;-5.996414;-16.747366;0.088534;forward_180
1488;1970-01-01 23:55:22.595655680;-1.395016;-4.261617;-1.430908;forward_180
2369;1970-01-02 00:00:27.144069120;-19.180866;-8.953942;6.525228;forward_180
2213;1970-01-02 00:01:26.048874496;-7.733603;-3.8309089999999997;5.656633;forward_180
1865;1970-01-02 00:01:19.329599488;-7.929814;-4.096512000000001;2.596213;forward_180
1946;1970-01-02 00:00:18.981953536;-3.589234;-8.425129;-7.2789660000000005;forward_180
2202;1970-01-02 00:00:23.922843648;-9.889536;-19.750359;-10.518848;forward_180
254;1970-01-01 23:52:48.320765952;-5.9126650000000005;-11.045269000000001;3.20399;forward_180
1502;1970-01-02 00:00:10.417184768;-0.5001;0.775275;-7.582855;forward_180
1372;1970-01-02 00:00:07.908990976;5.821737000000001;-8.322237;0.26560300000000003;forward_180
705;1970-01-01 23:52:57.044918272;5.699704;-7.429714;-2.825923;forward_180
1822;1970-01-01 23:53:18.670749696;20.023139999999998;10.942378;6.707082000000001;forward_180
657;1970-01-01 23:59:54.109730816;-8.157132;-3.314059;-6.113662000000001;forward_180
1640;1970-01-02 00:00:13.076373504;-19.159329999999997;-0.473779;17.922241;forward_180
2930;1970-01-01 23:53:40.061700096;12.394821;-2.971886;7.336394;forward_180
1354;1970-01-02 00:01:09.456207872;1.864009;-7.905886;0.569492;forward_180
1767;1970-01-02 00:00:15.525847040;-1.0432709999999998;-4.84068;-6.685546;forward_180
627;1970-01-02 00:00:55.430455296;-11.263016;-4.5008989999999995;-5.300102;forward_180
285;1970-01-01 23:54:59.342434304;23.040489;4.287938;-4.788037999999999;forward_180
3209;1970-01-01 23:53:45.480740864;-0.078963;-7.613962;-7.389036;forward_180
2758;1970-01-02 00:01:36.559800320;2.809174;-4.3381870000000005;-2.213361;forward_180
454;1970-01-02 00:00:52.091789312;-7.24786;-3.208775;-3.5653059999999996;forward_180
873;1970-01-02 00:01:00.170018816;-11.373086;-8.702696000000001;-8.532805;forward_180
1545;1970-01-02 00:01:13.155584000;3.3379879999999997;-3.95055;-1.5242280000000001;forward_180
2617;1970-01-02 00:01:33.841891328;-14.813965;-1.325624;1.330409;forward_180
2925;1970-01-01 23:53:39.969425408;5.213961;0.409173;3.498307;forward_180
2846;1970-01-01 23:55:48.877164544;13.282557999999998;0.564706;2.053042;forward_180
2687;1970-01-02 00:01:35.192457216;-14.799608;-5.864808;-10.9352;forward_180
1056;1970-01-02 00:00:01.810472960;-7.795816;-1.20359;-6.178268;forward_180
143;1970-01-01 23:59:44.177618944;9.729217;-5.522635;-6.6352970000000004;forward_180
2938;1970-01-02 00:01:40.032684032;-12.062219;-5.501099;-4.587041;forward_180
2355;1970-01-02 00:01:28.783560704;-3.3164519999999995;-7.386642999999999;-6.094519;forward_180
466;1970-01-01 23:59:50.410354688;-7.499105999999999;-3.4432720000000003;-5.613562;forward_180
373;1970-01-01 23:59:48.615192576;-1.244268;-13.07199;-1.6055840000000001;forward_180
1219;1970-01-02 00:00:04.956200960;2.667997;-10.844273;-1.954936;forward_180
1653;1970-01-01 23:53:15.365638144;-0.808774;-2.6177479999999997;-2.888137;forward_180
1648;1970-01-02 00:01:15.143684096;-2.179862;-7.176075;-7.5876410000000005;forward_180
3522;1970-01-01 23:53:51.562481664;0.0335;-4.929214;-3.699304;forward_180
1939;1970-01-01 23:55:31.294642176;10.296316000000001;-8.559127;7.652247;forward_180
3052;1970-01-01 23:53:42.418898944;4.618148000000001;-11.633904;-2.646462;forward_180
2028;1970-01-01 23:55:33.014306816;6.283551999999999;-6.733403;-3.273381;forward_180
228;1970-01-01 23:59:45.830174720;5.508278;-10.009177000000001;-2.151148;forward_180
2127;1970-01-02 00:01:24.387930112;-10.798809;-3.122633;-6.707082000000001;forward_180
146;1970-01-01 23:59:44.236339200;-0.8374879999999999;-7.929814;-13.780266000000001;forward_180
708;1970-01-01 23:52:57.095249920;2.603391;-8.702696000000001;-5.905486;forward_180
613;1970-01-01 23:59:53.262481408;4.074977;-1.124627;2.4167509999999996;forward_180
2641;1970-01-02 00:01:34.303264768;-8.82473;-5.611169;-9.174082;forward_180
1274;1970-01-01 23:53:08.042383360;6.656833;-11.289337;-8.841479;forward_180
631;1970-01-01 23:52:55.610466304;-18.321842;-11.062019;0.177069;forward_180
519;1970-01-01 23:59:51.433764864;-1.363909;-32.556744;-10.870593;forward_180
2064;1970-01-02 00:00:21.255266304;3.402594;-10.248460000000001;-2.1942180000000002;forward_180
1647;1970-01-02 00:01:15.126906880;1.244268;-7.075577;-10.348958;forward_180
3172;1970-01-01 23:53:44.776097792;9.312864999999999;-6.029913;-9.609575;forward_180
939;1970-01-02 00:01:01.445087232;-4.24726;-3.7639099999999996;-4.924429;forward_180
1227;1970-01-01 23:55:17.520547840;-0.131605;-7.5326059999999995;-20.982662;forward_180
1343;1970-01-02 00:01:09.238104064;-4.364509;-7.802995;-1.787439;forward_180
3636;1970-01-01 23:53:53.760296960;15.570097;2.907279;4.414758;forward_180
959;1970-01-01 23:53:01.943865344;4.931607;-15.390635000000001;-5.335995;forward_180
1727;1970-01-02 00:01:16.670410752;-21.757935999999997;-11.392228999999999;-10.9352;forward_180
988;1970-01-02 00:00:00.501850112;-20.492132;-1.033699;-43.326839;forward_180
1564;1970-01-01 23:53:13.654362112;10.296316000000001;-0.433101;6.3720870000000005;forward_180
1846;1970-01-02 00:01:18.960500736;0.9714860000000001;-3.0628130000000002;-8.463413000000001;forward_180
1331;1970-01-02 00:00:07.120461824;-2.849852;-4.862216;4.319045;forward_180
1589;1970-01-02 00:00:12.094906368;-3.9960139999999997;-8.039883999999999;-6.587441;forward_180
682;1970-01-02 00:00:56.487419904;-10.96152;-21.487547;-4.802395;forward_180
1736;1970-01-01 23:53:16.993028096;9.334401;-21.774687;-6.905686;forward_180
2914;1970-01-02 00:01:39.571310592;6.2261239999999995;-7.41775;-5.996414;forward_180
1001;1970-01-02 00:00:00.753508352;-10.51167;-2.979064;-5.12064;forward_180
275;1970-01-02 00:00:48.602128384;-9.657433000000001;-4.405187000000001;-4.551149;forward_180
533;1970-01-01 23:59:51.702200320;-7.645067999999999;-14.108082999999999;-7.948957000000001;forward_180
1689;1970-01-01 23:55:26.479581184;-2.321038;-2.383251;3.510271;forward_180
1395;1970-01-01 23:55:20.808882176;5.766703;-7.960921000000001;-3.699304;forward_180
1884;1970-01-01 23:53:19.861932032;3.3810580000000003;-7.939385000000001;-4.017549;forward_180
1119;1970-01-01 23:55:15.440173056;11.337193;-3.938586;4.847859;forward_180
1337;1970-01-02 00:00:07.237902336;-4.828716;-4.869394000000001;-0.59342;forward_180
134;1970-01-02 00:00:45.875830784;0.32063800000000003;-10.712667;4.259224;forward_180
1798;1970-01-02 00:00:16.129826816;-7.774280999999999;-6.032306;-15.725631;forward_180
264;1970-01-01 23:52:48.513703936;-1.85683;0.021535;1.148555;forward_180
1329;1970-01-02 00:00:07.078518784;0.088534;-13.646268;2.201397;forward_180
2274;1970-01-02 00:01:27.223279616;-14.074582999999999;-11.667403;-13.612767999999999;forward_180
388;1970-01-01 23:52:50.929623040;15.345172;-23.188845;5.230711;forward_180
181;1970-01-01 23:59:44.907427840;-3.790231;-7.846066;-3.491128;forward_180
2601;1970-01-02 00:01:33.531512832;-6.273981;2.333002;-34.523643;forward_180
2619;1970-01-01 23:53:34.047068160;-0.253639;-5.6662040000000005;-1.629512;forward_180
322;1970-01-01 23:52:49.629388800;18.920048;7.255038000000001;1.596013;forward_180
