;time;x;y;z;activity
875;1970-01-01 11:39:48.212170752;0.847059;-6.879364999999999;0.8135600000000001;jump_slow
1007;1970-01-01 21:17:18.905212928;0.241675;-9.499506;-1.464407;jump_slow
469;1970-01-01 11:39:40.377210880;41.467617;-16.694723;-9.23151;jump_slow
1294;1970-01-01 11:39:56.319760384;-1.756332;-4.481757;0.543171;jump_slow
191;1970-01-01 11:39:35.008501760;-0.729811;-10.238888000000001;0.653241;jump_slow
1649;1970-01-02 01:00:42.642505728;0.588634;1.892723;1.6438689999999998;jump_slow
2180;1970-01-01 21:15:53.534349312;-0.8159529999999999;-3.8763730000000005;0.107677;jump_slow
26;1970-01-01 01:06:49.228509184;2.098505;0.342174;1.134198;jump_slow
315;1970-01-01 01:06:54.801362944;0.48574300000000004;-5.209175;3.663411;jump_slow
807;1970-01-02 01:00:26.251165696;-2.342573;-5.675776;1.569692;jump_slow
12;1970-01-01 01:06:48.960532480;-4.701897;-6.637689999999999;-6.269196;jump_slow
221;1970-01-02 00:59:39.409178624;0.770489;4.436293;0.22014;jump_slow
415;1970-01-01 01:06:56.729759744;1.174876;-5.276174;4.587041;jump_slow
1049;1970-01-02 01:00:31.049449472;-0.567099;1.816152;1.3351950000000001;jump_slow
314;1970-01-02 01:00:17.032085504;4.493721;-6.32423;-2.4574290000000003;jump_slow
209;1970-01-01 21:17:03.486951424;-0.665205;-20.097317;-3.0412779999999997;jump_slow
1717;1970-01-02 01:00:43.951128576;-2.404787;-7.123433;-11.672189;jump_slow
2935;1970-01-01 21:16:08.214413312;1.435694;-1.8113669999999997;-4.388437000000001;jump_slow
576;1970-01-01 01:06:59.835936768;-4.058227;-8.310273;1.117448;jump_slow
1835;1970-01-01 21:17:34.877122560;-2.538785;-17.233109;-3.460021;jump_slow
696;1970-01-01 21:17:12.898969600;4.089334;-7.628319;-1.323231;jump_slow
426;1970-01-01 11:39:39.546738688;36.885360999999996;-9.207582;-2.723032;jump_slow
249;1970-01-01 21:17:04.258703360;9.32483;-5.73081;2.196611;jump_slow
36;1970-01-01 21:17:00.148285440;-14.239688000000001;0.595813;-9.803394;jump_slow
813;1970-01-01 11:39:47.016794112;55.709697999999996;-16.082161;-2.495714;jump_slow
1752;1970-01-02 01:00:44.630605824;-0.70349;2.074577;-1.452443;jump_slow
816;1970-01-01 01:07:04.473624576;-2.524428;-2.115255;-1.301695;jump_slow
1576;1970-01-01 11:40:01.759772672;24.720251;-12.413964;8.181061;jump_slow
1168;1970-01-01 21:17:22.008997888;-0.270389;-4.472186;-1.241875;jump_slow
2570;1970-01-01 21:16:01.142816768;4.455436;-21.396620000000002;-6.8985080000000005;jump_slow
1869;1970-01-02 01:01:23.369197568;-0.7800600000000001;-10.054641;-2.6895330000000004;jump_slow
1724;1970-01-02 01:00:44.093734912;10.317851;2.541178;-7.439286;jump_slow
2830;1970-01-01 21:16:06.192758784;1.634298;-0.736989;-3.17049;jump_slow
802;1970-01-01 01:07:04.208859136;-6.723832000000001;-15.471992000000002;-11.846865;jump_slow
1281;1970-01-01 21:17:24.190035968;7.188039;-4.953143;-21.08316;jump_slow
1149;1970-01-01 11:39:53.501188096;0.988236;-12.629318;-8.891729;jump_slow
770;1970-01-01 01:07:03.577747456;-2.9647069999999998;-10.722239;-1.387837;jump_slow
196;1970-01-01 01:06:52.506849280;2.0243279999999997;-7.707282000000001;-7.24786;jump_slow
1362;1970-01-02 01:00:37.106024448;8.377272;-16.381264;-7.848458;jump_slow
47;1970-01-01 01:06:49.648005120;6.999006;-4.113262000000001;-1.808974;jump_slow
2049;1970-01-02 01:01:26.842081280;-7.094719;-14.502898000000002;-10.621739;jump_slow
804;1970-01-02 01:00:26.192445440;4.6971110000000005;-14.038691;-0.5240279999999999;jump_slow
675;1970-01-02 01:00:23.667474432;3.06042;-13.471592000000001;-16.412371;jump_slow
457;1970-01-01 11:39:40.146524160;-4.2496529999999995;3.0652060000000003;-0.490529;jump_slow
282;1970-01-01 01:06:54.164811776;-20.264814;-25.115067;-14.323437;jump_slow
1552;1970-01-02 01:00:40.771846144;3.067599;1.741975;-0.5623130000000001;jump_slow
311;1970-01-01 01:06:54.724554752;-4.029513;-19.824535;-10.045069999999999;jump_slow
483;1970-01-01 11:39:40.645646336;-2.400001;-8.683553999999999;-1.909472;jump_slow
2179;1970-01-02 01:01:29.350275072;2.837888;1.0480559999999999;-2.349752;jump_slow
1924;1970-01-02 01:01:24.434550784;2.175076;-6.30748;3.897908;jump_slow
1845;1970-01-02 01:01:22.907824128;-9.341579;7.422536;-16.220945;jump_slow
1489;1970-01-02 01:00:39.555497984;-1.158126;-1.59362;-2.3808580000000004;jump_slow
1585;1970-01-01 21:17:30.053672960;8.130811999999999;0.23928200000000002;1.567299;jump_slow
1263;1970-01-01 11:39:55.724169216;4.895715;-9.095119;5.498705999999999;jump_slow
1415;1970-01-01 21:17:26.773727232;0.028714;-3.29731;0.27996;jump_slow
2505;1970-01-01 21:15:59.884525568;6.726224;-1.421337;0.5910270000000001;jump_slow
2402;1970-01-01 21:15:57.896425472;1.040878;-0.8255239999999999;-0.354138;jump_slow
118;1970-01-01 01:06:51.001421824;-1.5984049999999999;-16.878971;-8.240881;jump_slow
1308;1970-01-02 01:00:36.074225664;-0.672383;-4.524826999999999;-0.801596;jump_slow
1706;1970-01-01 11:40:04.272160768;18.494125;-11.423335;6.549156;jump_slow
2044;1970-01-02 01:01:26.749806592;-74.091362;-16.185053;-57.444492000000004;jump_slow
52;1970-01-01 01:06:49.733988352;-5.496314;-7.23111;-6.415157;jump_slow
720;1970-01-02 01:00:24.531501056;0.535992;0.066999;-1.349552;jump_slow
387;1970-01-01 01:06:56.193183744;-3.1441689999999998;-12.287144999999999;-5.785845;jump_slow
345;1970-01-02 01:00:17.719951360;-0.607777;-0.638884;-0.29192399999999996;jump_slow
363;1970-01-01 21:17:06.456518656;0.07657;0.131605;-0.799203;jump_slow
1646;1970-01-02 01:00:42.583785472;0.6317050000000001;-5.426922;3.553342;jump_slow
1643;1970-01-02 01:00:42.525065216;10.875378999999999;-19.597217999999998;-1.6677970000000002;jump_slow
185;1970-01-01 01:06:52.295692288;-10.222138000000001;-16.460226000000002;-3.7351959999999997;jump_slow
454;1970-01-01 01:06:57.482997760;-6.656833;-8.059027;-9.097511;jump_slow
886;1970-01-01 21:17:16.564791296;-0.052641999999999994;-12.976277;-10.207782;jump_slow
255;1970-01-01 21:17:04.376143872;2.658426;-11.763116;-0.23449699999999998;jump_slow
996;1970-01-02 01:00:29.992484864;10.317851;-15.127425;-5.319245;jump_slow
55;1970-01-02 00:59:35.978237952;2.364109;2.361716;1.069592;jump_slow
12;1970-01-01 21:16:59.686912000;-0.47617200000000004;-11.207981;-0.26321100000000003;jump_slow
1608;1970-01-02 01:00:41.853976576;1.519442;-1.1509479999999999;-3.5724839999999998;jump_slow
