;time;x;y;z;activity;type;proefpersoon
0;1970-01-01 21:17:54.783289344;18.410378;-24.545574;-20.563917;jump;right_backwards;1
1;1970-01-01 21:17:54.800066560;14.416757;-19.137795999999998;-13.438092000000001;jump;right_backwards;1
2;1970-01-01 21:17:54.816843776;10.913664;-13.622339000000002;-16.369298999999998;jump;right_backwards;1
3;1970-01-01 21:17:54.842009600;-1.7778669999999999;-9.399008;-25.14378;jump;right_backwards;1
4;1970-01-01 21:17:54.858786816;-9.174082;-4.067799;-21.410976;jump;right_backwards;1
5;1970-01-01 21:17:54.875564032;-25.409384;-8.535198;-24.318255999999998;jump;right_backwards;1
6;1970-01-01 21:17:54.900729856;-3.436093;-4.800002;-17.58964;jump;right_backwards;1
7;1970-01-01 21:17:54.917507072;-0.5216350000000001;-4.13719;-28.395626;jump;right_backwards;1
8;1970-01-01 21:17:54.934284288;6.472585;-7.293324;-22.636103;jump;right_backwards;1
9;1970-01-01 21:17:54.959450112;25.009783;-19.348364;-13.933406;jump;right_backwards;1
10;1970-01-01 21:17:54.976227328;24.483362;-15.615560999999998;-0.5910270000000001;jump;right_backwards;1
11;1970-01-01 21:17:54.993004544;23.248665;-7.4703919999999995;5.326423;jump;right_backwards;1
12;1970-01-01 21:17:55.009781760;22.200609;-5.551349;10.394422;jump;right_backwards;1
13;1970-01-01 21:17:55.034947584;20.219351;2.706282;9.602397;jump;right_backwards;1
14;1970-01-01 21:17:55.051724800;17.711674;4.309474;12.708282;jump;right_backwards;1
15;1970-01-01 21:17:55.068502016;13.978869;2.306681;12.356536;jump;right_backwards;1
16;1970-01-01 21:17:55.093667840;12.193824000000001;5.5274209999999995;8.58784;jump;right_backwards;1
17;1970-01-01 21:17:55.110445056;7.389036;4.993821;8.023133999999999;jump;right_backwards;1
18;1970-01-01 21:17:55.127222272;3.1752759999999998;1.3351950000000001;4.302295;jump;right_backwards;1
19;1970-01-01 21:17:55.152388096;-0.346959;6.35773;-0.701097;jump;right_backwards;1
20;1970-01-01 21:17:55.169165312;-5.127819000000001;7.848458;-7.164111;jump;right_backwards;1
