;time;x;y;z;activity;type;proefpersoon
0;1970-01-01 11:43:22.339778560;7.9465639999999995;-11.196017;-6.73101;jump;right_forward;1
1;1970-01-01 11:43:22.356555776;9.427721;-18.549162;-12.638889;jump;right_forward;1
2;1970-01-01 11:43:22.377527296;20.575882;-8.961121;-9.073584;jump;right_forward;1
3;1970-01-01 11:43:22.394304512;2.139184;-17.730816;3.8596230000000005;jump;right_forward;1
4;1970-01-01 11:43:22.415276032;0.574277;-8.032705;-5.0057849999999995;jump;right_forward;1
5;1970-01-01 11:43:22.440441856;-0.464208;-2.258825;-19.070797;jump;right_forward;1
6;1970-01-01 11:43:22.453024768;-0.557528;2.924029;-18.027525;jump;right_forward;1
7;1970-01-01 11:43:22.469801984;-3.134598;-0.583849;-6.656833;jump;right_forward;1
8;1970-01-01 11:43:22.490773504;-7.255038000000001;-3.402594;-7.298108999999999;jump;right_forward;1
9;1970-01-01 11:43:22.511745024;-4.024728;0.9762719999999999;-11.042876;jump;right_forward;1
10;1970-01-01 11:43:22.528522240;-0.713061;5.644669;-7.910672;jump;right_forward;1
11;1970-01-01 11:43:22.549493760;1.368695;7.506285000000001;-9.008977;jump;right_forward;1
12;1970-01-01 11:43:22.574659584;4.101298;9.743574;-6.159125;jump;right_forward;1
13;1970-01-01 11:43:22.591436800;6.953542999999999;7.697711;-2.6392830000000003;jump;right_forward;1
14;1970-01-01 11:43:22.608214016;7.812566;3.936193;1.488336;jump;right_forward;1
15;1970-01-01 11:43:22.629185536;7.243074000000001;-7.216753;4.4841489999999995;jump;right_forward;1
16;1970-01-01 11:43:22.645962752;3.0101709999999997;-16.436298;2.435894;jump;right_forward;1
17;1970-01-01 11:43:22.662739968;-0.387637;-18.142382;0.564706;jump;right_forward;1
18;1970-01-01 11:43:22.683711488;-3.0173490000000003;-21.142981;4.455436;jump;right_forward;1
19;1970-01-01 11:43:22.704683008;-1.172483;-22.159931;2.900101;jump;right_forward;1
20;1970-01-01 11:43:22.721460224;7.156932;-9.944571;-5.48435;jump;right_forward;1
21;1970-01-01 11:43:22.742431744;20.492132;-3.495914;-5.012963;jump;right_forward;1
22;1970-01-01 11:43:22.763403264;40.503307;-12.189038;-2.526821;jump;right_forward;1
23;1970-01-01 11:43:22.780180480;23.277378;-15.151353;1.418944;jump;right_forward;1
24;1970-01-01 11:43:22.801152000;7.661817999999999;-11.571691;1.854438;jump;right_forward;1
25;1970-01-01 11:43:22.817929216;6.874579;-7.410572;-6.362515;jump;right_forward;1
26;1970-01-01 11:43:22.838900736;6.95115;-8.626125;-9.906285;jump;right_forward;1
27;1970-01-01 11:43:22.855677952;5.099105000000001;-9.753145;-6.4678;jump;right_forward;1
28;1970-01-01 11:43:22.876649472;1.5481559999999999;-9.068798;-3.192025;jump;right_forward;1
29;1970-01-01 11:43:22.897620992;-0.23928200000000002;-10.030712;-9.260223;jump;right_forward;1
30;1970-01-01 11:43:22.914398208;3.720839;-16.445869000000002;-6.106483;jump;right_forward;1
31;1970-01-01 11:43:22.935369728;5.5776699999999995;-15.316457999999999;-6.9344;jump;right_forward;1
32;1970-01-01 11:43:22.952146944;2.258825;-12.071791000000001;-9.944571;jump;right_forward;1
33;1970-01-01 11:43:22.973118464;-0.9332010000000001;-7.07797;-13.773088000000001;jump;right_forward;1
34;1970-01-01 11:43:22.994089984;-3.4097720000000002;-10.607383;-9.915857;jump;right_forward;1
35;1970-01-01 11:43:23.010867200;-2.991028;-9.243474;-3.8859440000000003;jump;right_forward;1
36;1970-01-01 11:43:23.031838720;-2.0697919999999996;-8.970692;-5.455636;jump;right_forward;1
37;1970-01-01 11:43:23.052810240;-1.036092;-4.744967;-7.152147;jump;right_forward;1
38;1970-01-01 11:43:23.069587456;0.354138;-2.737389;-7.5254270000000005;jump;right_forward;1
39;1970-01-01 11:43:23.090558976;3.101098;0.672383;-4.883751;jump;right_forward;1
40;1970-01-01 11:43:23.107336192;3.0484560000000003;1.380659;-7.389036;jump;right_forward;1
41;1970-01-01 11:43:23.128307712;4.974678;2.3401810000000003;-8.286344999999999;jump;right_forward;1
42;1970-01-01 11:43:23.149279232;7.353144;2.737389;-6.659225;jump;right_forward;1
43;1970-01-01 11:43:23.166056448;8.228917;-0.114855;-2.510071;jump;right_forward;1
44;1970-01-01 11:43:23.187027968;6.975078;-4.34058;0.48813599999999996;jump;right_forward;1
45;1970-01-01 11:43:23.207999488;8.523234;-4.426722;3.6083769999999995;jump;right_forward;1
46;1970-01-01 11:43:23.245748224;2.809174;-28.039095;2.1942180000000002;jump;right_forward;1
47;1970-01-01 11:43:23.262525440;4.2999019999999994;-28.948368;3.146562;jump;right_forward;1
48;1970-01-01 11:43:23.283496960;12.208181;-27.431318;3.713661;jump;right_forward;1
